,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy
4,Entire home/apt,6,2.0,3.0,3.0,Real Bed,599.0,800.0,290.0,125.0,1,0.0,2,27,57,87,358,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
7,Private room,2,1.0,1.0,1.0,Real Bed,40.0,800.0,290.0,25.0,2,10.0,1,16,16,37,312,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,moderate
9,Private room,2,1.0,1.0,1.0,Real Bed,44.0,275.0,290.0,10.0,2,19.0,1,29,59,89,364,0.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
11,Private room,2,1.0,1.0,1.0,Real Bed,50.0,800.0,200.0,50.0,1,10.0,3,24,54,84,84,0.0,93.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
12,Private room,2,1.0,1.0,1.0,Real Bed,49.0,350.0,290.0,65.0,1,0.0,2,25,55,85,360,4.0,100.0,9.0,10.0,10.0,10.0,10.0,10.0,0,strict
13,Private room,2,1.0,1.0,1.0,Real Bed,50.0,300.0,290.0,65.0,1,20.0,3,29,59,89,364,7.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
14,Private room,2,1.0,1.0,1.0,Real Bed,55.0,800.0,100.0,75.0,1,0.0,1,30,60,90,365,14.0,99.0,10.0,10.0,10.0,10.0,9.0,9.0,0,strict
19,Private room,2,1.0,1.0,1.0,Real Bed,49.0,250.0,100.0,20.0,2,25.0,1,4,4,4,254,0.0,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0,strict
23,Private room,6,1.0,1.0,2.0,Real Bed,50.0,300.0,290.0,65.0,4,10.0,1,19,44,63,153,0.0,94.0,10.0,9.0,10.0,10.0,9.0,10.0,0,moderate
26,Private room,2,1.5,1.0,2.0,Real Bed,49.0,800.0,100.0,20.0,2,25.0,1,19,49,79,354,0.0,99.0,10.0,10.0,10.0,10.0,9.0,10.0,0,strict
28,Private room,2,1.0,1.0,1.0,Real Bed,75.0,350.0,100.0,15.0,1,20.0,1,30,60,90,365,0.0,100.0,10.0,10.0,10.0,10.0,10.0,8.0,0,strict
29,Private room,2,1.0,1.0,1.0,Airbed,50.0,800.0,290.0,65.0,1,0.0,1,30,60,90,353,0.0,60.0,6.0,8.0,8.0,8.0,4.0,8.0,0,flexible
35,Private room,4,1.0,1.0,1.0,Real Bed,59.0,460.0,100.0,10.0,4,15.0,1,30,60,90,365,2.0,100.0,9.0,10.0,9.0,10.0,10.0,10.0,0,flexible
37,Entire home/apt,10,3.5,4.0,5.0,Real Bed,700.0,800.0,290.0,165.0,1,0.0,2,22,42,69,340,1.0,80.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
38,Entire home/apt,12,3.5,4.0,5.0,Real Bed,819.0,800.0,290.0,175.0,1,0.0,2,25,55,85,351,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
39,Entire home/apt,10,2.0,3.0,3.0,Real Bed,1200.0,800.0,290.0,235.0,1,0.0,2,0,0,0,0,0.0,80.0,10.0,8.0,8.0,10.0,10.0,8.0,0,strict
40,Entire home/apt,8,4.5,4.0,4.0,Real Bed,1250.0,800.0,250.0,250.0,10,0.0,3,30,60,90,365,6.0,87.0,9.0,9.0,9.0,8.0,9.0,7.0,0,strict
44,Private room,2,1.0,1.0,1.0,Real Bed,85.0,425.0,100.0,25.0,2,25.0,2,25,42,72,341,9.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict
46,Entire home/apt,5,2.5,4.0,3.0,Real Bed,200.0,800.0,290.0,250.0,1,0.0,1,25,44,74,349,1.0,80.0,8.0,10.0,10.0,10.0,10.0,10.0,0,flexible
48,Entire home/apt,16,6.0,6.0,9.0,Real Bed,1650.0,10000.0,500.0,300.0,12,40.0,3,26,56,86,361,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
49,Entire home/apt,8,2.5,3.0,4.0,Real Bed,629.0,800.0,290.0,125.0,1,0.0,2,21,48,78,353,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
50,Entire home/apt,8,2.0,3.0,3.0,Real Bed,225.0,1600.0,300.0,100.0,2,20.0,2,6,36,66,341,0.0,100.0,8.0,8.0,8.0,10.0,10.0,8.0,1,flexible
51,Entire home/apt,8,3.0,3.0,4.0,Real Bed,469.0,800.0,290.0,165.0,1,0.0,2,15,32,62,323,1.0,80.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
53,Entire home/apt,16,2.0,4.0,12.0,Real Bed,565.0,3560.0,300.0,250.0,16,25.0,2,23,50,80,352,7.0,97.0,9.0,9.0,10.0,9.0,9.0,10.0,0,strict
55,Entire home/apt,7,2.5,4.0,3.0,Real Bed,499.0,800.0,290.0,250.0,1,0.0,1,30,60,90,365,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
56,Entire home/apt,16,3.0,5.0,11.0,Real Bed,599.0,4500.0,290.0,300.0,4,35.0,2,26,56,86,361,4.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
57,Entire home/apt,4,1.0,2.0,2.0,Real Bed,149.0,675.0,290.0,65.0,0,0.0,1,11,26,56,328,0.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
58,Private room,2,1.0,1.0,1.0,Real Bed,85.0,425.0,100.0,25.0,2,25.0,2,26,56,86,361,10.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
59,Private room,2,1.0,1.0,1.0,Real Bed,110.0,600.0,290.0,65.0,0,0.0,1,17,47,77,352,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,flexible
60,Private room,1,1.0,1.0,1.0,Real Bed,48.0,175.0,290.0,65.0,1,0.0,1,0,21,51,297,2.0,90.0,9.0,9.0,9.0,10.0,10.0,10.0,0,flexible
61,Private room,2,1.0,1.0,1.0,Real Bed,89.0,300.0,200.0,65.0,2,0.0,2,25,38,52,142,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
62,Entire home/apt,6,1.0,2.0,2.0,Real Bed,165.0,800.0,100.0,65.0,2,10.0,2,7,37,67,157,0.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
63,Entire home/apt,2,1.0,1.0,1.0,Real Bed,115.0,800.0,290.0,65.0,1,0.0,2,29,59,89,179,0.0,97.0,9.0,10.0,10.0,10.0,10.0,9.0,0,moderate
64,Entire home/apt,12,2.5,6.0,8.0,Real Bed,909.0,800.0,290.0,165.0,1,0.0,2,29,43,73,337,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
65,Entire home/apt,4,1.0,1.0,1.0,Real Bed,135.0,875.0,150.0,65.0,2,0.0,2,29,59,89,364,0.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
66,Entire home/apt,3,1.0,0.0,1.0,Real Bed,75.0,450.0,290.0,25.0,2,25.0,1,13,33,63,338,0.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
67,Entire home/apt,3,1.0,1.0,2.0,Real Bed,145.0,975.0,290.0,25.0,3,25.0,2,20,50,80,355,0.0,96.0,10.0,9.0,10.0,10.0,10.0,9.0,1,moderate
68,Entire home/apt,2,1.0,1.0,1.0,Real Bed,125.0,750.0,150.0,65.0,2,15.0,2,27,48,78,344,0.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
71,Private room,2,1.0,1.0,1.0,Real Bed,59.0,345.0,100.0,15.0,2,0.0,1,29,59,89,362,0.0,94.0,9.0,9.0,10.0,10.0,9.0,9.0,1,strict
72,Private room,2,1.5,1.0,1.0,Real Bed,89.0,570.0,200.0,30.0,1,0.0,1,29,59,89,364,0.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
74,Private room,2,1.0,1.0,1.0,Real Bed,150.0,700.0,290.0,65.0,1,0.0,1,30,60,90,365,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
75,Private room,2,2.0,1.0,1.0,Real Bed,65.0,800.0,290.0,65.0,2,35.0,1,19,26,56,331,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
77,Entire home/apt,4,1.0,2.0,2.0,Real Bed,150.0,800.0,250.0,30.0,1,0.0,1,17,47,77,352,0.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
78,Private room,2,1.0,1.0,1.0,Real Bed,450.0,800.0,290.0,65.0,1,0.0,1,30,60,90,365,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
79,Entire home/apt,16,6.0,6.0,7.0,Real Bed,6500.0,800.0,290.0,65.0,1,0.0,4,30,60,90,365,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
83,Private room,2,2.0,1.0,1.0,Real Bed,75.0,450.0,290.0,65.0,1,0.0,1,30,60,90,365,1.0,80.0,8.0,8.0,10.0,10.0,8.0,8.0,0,flexible
85,Private room,4,1.0,1.0,1.0,Real Bed,79.0,400.0,290.0,20.0,2,40.0,1,30,60,90,365,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
86,Entire home/apt,4,1.0,1.0,2.0,Real Bed,109.0,645.0,290.0,29.0,3,50.0,1,2,2,6,262,56.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0,flexible
87,Private room,3,1.0,1.0,1.0,Real Bed,88.0,800.0,100.0,65.0,3,20.0,2,18,35,57,332,90.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
88,Entire home/apt,5,1.0,1.0,3.0,Real Bed,115.0,755.0,200.0,80.0,4,25.0,2,23,32,54,316,11.0,96.0,9.0,10.0,10.0,10.0,10.0,10.0,0,strict
89,Entire home/apt,4,1.0,0.0,2.0,Real Bed,144.0,690.0,150.0,45.0,3,20.0,2,23,49,79,354,8.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,0,moderate
92,Entire home/apt,8,3.5,4.0,5.0,Real Bed,699.0,4599.0,800.0,150.0,1,0.0,3,29,59,89,364,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
93,Entire home/apt,6,2.0,3.0,4.0,Real Bed,625.0,800.0,150.0,65.0,6,25.0,1,30,60,90,365,2.0,99.0,10.0,9.0,10.0,10.0,10.0,10.0,0,flexible
94,Entire home/apt,3,1.0,2.0,3.0,Real Bed,102.0,749.0,100.0,75.0,3,25.0,2,9,20,20,293,20.0,90.0,10.0,9.0,10.0,10.0,9.0,9.0,0,strict
96,Entire home/apt,3,1.0,1.0,1.0,Real Bed,70.0,460.0,300.0,10.0,1,0.0,3,0,19,19,247,8.0,95.0,10.0,9.0,10.0,9.0,9.0,9.0,0,strict
97,Entire home/apt,3,1.0,1.0,1.0,Real Bed,119.0,800.0,499.0,65.0,1,0.0,2,28,58,88,332,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,moderate
100,Entire home/apt,2,1.0,1.0,1.0,Real Bed,97.0,800.0,100.0,25.0,1,0.0,1,6,25,55,324,61.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
101,Entire home/apt,6,1.0,2.0,3.0,Real Bed,125.0,650.0,200.0,89.0,2,0.0,3,11,11,11,11,46.0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,1,strict
103,Entire home/apt,4,1.0,1.0,2.0,Real Bed,118.0,800.0,290.0,20.0,4,10.0,3,28,58,88,205,5.0,92.0,10.0,9.0,10.0,10.0,8.0,9.0,0,flexible
104,Entire home/apt,4,1.0,2.0,2.0,Real Bed,163.0,800.0,290.0,35.0,2,0.0,2,23,53,83,358,32.0,88.0,9.0,10.0,9.0,9.0,8.0,9.0,1,strict
105,Entire home/apt,8,3.0,4.0,4.0,Real Bed,400.0,800.0,290.0,65.0,1,0.0,3,30,60,90,365,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
107,Entire home/apt,5,1.0,2.0,2.0,Real Bed,169.0,800.0,350.0,49.0,4,49.0,2,18,39,69,341,50.0,96.0,10.0,10.0,10.0,10.0,9.0,10.0,0,moderate
108,Entire home/apt,10,3.0,3.0,4.0,Real Bed,650.0,2750.0,1000.0,150.0,1,0.0,1,29,59,89,360,1.0,100.0,10.0,8.0,10.0,10.0,8.0,10.0,0,strict
110,Private room,4,1.0,1.0,2.0,Real Bed,75.0,800.0,290.0,40.0,2,25.0,2,5,19,47,124,17.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,moderate
111,Private room,4,1.0,1.0,3.0,Real Bed,60.0,800.0,125.0,15.0,2,20.0,1,20,44,74,349,0.0,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0,flexible
113,Entire home/apt,8,2.0,3.0,4.0,Real Bed,157.0,800.0,290.0,125.0,1,0.0,2,11,11,11,137,6.0,92.0,10.0,8.0,10.0,10.0,10.0,9.0,0,strict
114,Entire home/apt,4,1.0,1.0,1.0,Real Bed,180.0,1500.0,290.0,60.0,2,50.0,3,19,44,74,335,8.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict
115,Entire home/apt,6,2.5,2.0,3.0,Real Bed,172.0,1150.0,200.0,115.0,4,11.0,1,29,59,89,364,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
116,Entire home/apt,7,2.0,3.0,4.0,Real Bed,399.0,800.0,400.0,130.0,6,20.0,1,4,30,45,286,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
117,Entire home/apt,2,1.0,0.0,1.0,Real Bed,63.0,400.0,290.0,65.0,2,15.0,3,0,17,22,22,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
118,Entire home/apt,2,1.0,1.0,1.0,Real Bed,75.0,800.0,200.0,40.0,1,0.0,2,15,45,75,75,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
119,Entire home/apt,2,1.0,0.0,1.0,Real Bed,60.0,800.0,290.0,10.0,0,0.0,2,0,0,0,1,14.0,86.0,9.0,8.0,10.0,10.0,9.0,9.0,0,flexible
120,Entire home/apt,4,1.0,2.0,2.0,Real Bed,95.0,800.0,290.0,65.0,1,0.0,3,0,0,0,241,4.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
121,Private room,2,1.0,1.0,1.0,Real Bed,60.0,350.0,290.0,25.0,1,0.0,1,8,38,68,343,0.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
122,Entire home/apt,6,1.5,2.0,3.0,Real Bed,185.0,1150.0,300.0,65.0,1,0.0,3,13,28,28,247,3.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,0,strict
124,Private room,2,1.0,1.0,1.0,Real Bed,49.0,295.0,290.0,15.0,0,0.0,1,0,0,0,273,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
125,Entire home/apt,6,2.0,3.0,2.0,Real Bed,600.0,800.0,250.0,85.0,1,0.0,2,0,0,0,17,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
126,Entire home/apt,2,1.0,0.0,1.0,Real Bed,100.0,600.0,300.0,80.0,2,40.0,2,0,18,48,323,3.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
127,Entire home/apt,4,1.0,2.0,2.0,Real Bed,172.0,800.0,290.0,115.0,1,0.0,2,0,5,35,310,2.0,90.0,10.0,9.0,10.0,10.0,8.0,9.0,0,strict
130,Entire home/apt,4,1.0,2.0,3.0,Real Bed,190.0,775.0,1000.0,150.0,2,8.0,7,0,25,55,145,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
131,Entire home/apt,2,1.0,0.0,1.0,Pull-out Sofa,85.0,550.0,290.0,30.0,1,0.0,1,18,38,68,158,23.0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,1,moderate
133,Entire home/apt,4,1.0,1.0,1.0,Real Bed,89.0,650.0,300.0,100.0,1,0.0,2,0,0,19,263,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
134,Entire home/apt,4,1.0,2.0,2.0,Real Bed,170.0,800.0,290.0,120.0,1,0.0,2,0,0,3,278,0.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
136,Entire home/apt,6,1.5,3.0,5.0,Real Bed,114.0,800.0,290.0,120.0,4,0.0,3,25,53,83,358,21.0,97.0,10.0,10.0,10.0,10.0,9.0,9.0,0,strict
137,Entire home/apt,3,1.0,0.0,1.0,Real Bed,143.0,920.0,250.0,85.0,1,0.0,2,18,18,18,236,4.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
139,Entire home/apt,4,1.0,1.0,2.0,Real Bed,115.0,800.0,500.0,30.0,1,15.0,2,24,54,84,359,23.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
140,Entire home/apt,4,1.0,0.0,2.0,Real Bed,90.0,600.0,200.0,50.0,1,0.0,2,19,49,79,354,7.0,97.0,10.0,10.0,9.0,10.0,10.0,10.0,1,strict
141,Entire home/apt,5,2.0,3.0,5.0,Real Bed,180.0,1200.0,400.0,80.0,1,0.0,1,0,8,8,162,2.0,96.0,8.0,9.0,10.0,10.0,10.0,10.0,1,strict
142,Entire home/apt,6,1.0,3.0,4.0,Real Bed,180.0,800.0,400.0,100.0,4,0.0,2,4,23,53,328,15.0,95.0,10.0,10.0,10.0,9.0,9.0,10.0,0,strict
145,Entire home/apt,4,1.0,2.0,3.0,Real Bed,150.0,1050.0,500.0,60.0,4,50.0,2,29,58,88,363,5.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,0,strict
146,Entire home/apt,6,1.0,2.0,4.0,Real Bed,200.0,1000.0,400.0,90.0,5,25.0,2,0,0,0,189,5.0,80.0,9.0,10.0,10.0,10.0,9.0,10.0,0,strict
147,Entire home/apt,2,2.0,2.0,2.0,Real Bed,100.0,800.0,290.0,65.0,1,0.0,1,0,0,0,0,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
148,Entire home/apt,6,1.5,3.0,4.0,Real Bed,225.0,1500.0,1000.0,150.0,1,0.0,2,8,38,68,343,1.0,80.0,6.0,6.0,10.0,8.0,10.0,6.0,1,strict
149,Entire home/apt,4,1.0,1.0,2.0,Real Bed,85.0,525.0,500.0,50.0,1,0.0,2,10,23,29,296,36.0,95.0,10.0,10.0,10.0,10.0,9.0,9.0,0,moderate
150,Entire home/apt,4,1.0,1.0,2.0,Real Bed,175.0,995.0,150.0,80.0,4,50.0,2,0,13,43,318,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
151,Entire home/apt,3,1.0,1.0,1.0,Real Bed,95.0,800.0,290.0,65.0,1,0.0,1,15,45,75,350,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
152,Entire home/apt,6,2.0,3.0,3.0,Real Bed,106.0,800.0,290.0,85.0,1,0.0,30,11,41,71,346,5.0,84.0,9.0,7.0,9.0,10.0,10.0,9.0,0,flexible
154,Entire home/apt,4,1.0,0.0,2.0,Real Bed,135.0,800.0,250.0,65.0,3,20.0,2,29,44,74,349,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
156,Private room,2,1.0,1.0,1.0,Real Bed,55.0,400.0,290.0,25.0,1,15.0,2,0,20,41,310,8.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
159,Entire home/apt,4,1.0,1.0,2.0,Real Bed,185.0,1150.0,290.0,60.0,4,0.0,2,6,36,66,341,13.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict
160,Entire home/apt,5,2.0,3.0,3.0,Real Bed,199.0,800.0,500.0,85.0,1,0.0,1,6,20,24,243,5.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
164,Entire home/apt,2,1.0,1.0,2.0,Real Bed,61.0,350.0,290.0,65.0,2,0.0,2,0,0,0,219,7.0,96.0,10.0,8.0,10.0,10.0,10.0,10.0,0,moderate
165,Entire home/apt,2,1.0,1.0,1.0,Real Bed,120.0,700.0,500.0,80.0,2,0.0,14,0,0,0,26,5.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
168,Entire home/apt,8,4.0,8.0,8.0,Real Bed,700.0,800.0,290.0,225.0,8,35.0,2,17,41,71,234,0.0,100.0,9.0,10.0,9.0,9.0,9.0,10.0,0,strict
169,Entire home/apt,4,1.0,2.0,2.0,Real Bed,250.0,800.0,290.0,15.0,0,0.0,3,0,0,0,214,1.0,80.0,10.0,8.0,10.0,10.0,10.0,10.0,0,strict
171,Private room,2,1.0,1.0,2.0,Real Bed,40.0,800.0,290.0,65.0,1,25.0,1,29,59,89,89,0.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0,flexible
175,Shared room,2,1.5,1.0,1.0,Real Bed,22.0,800.0,290.0,5.0,1,5.0,1,12,29,29,29,0.0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,0,flexible
178,Private room,2,1.5,1.0,1.0,Futon,80.0,500.0,290.0,65.0,1,0.0,1,26,56,86,361,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,flexible
181,Private room,2,1.5,1.0,1.0,Real Bed,40.0,250.0,290.0,65.0,1,20.0,1,18,34,64,154,0.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,flexible
182,Private room,2,1.0,1.0,1.0,Real Bed,40.0,800.0,290.0,65.0,1,25.0,1,29,59,89,364,0.0,96.0,10.0,10.0,10.0,10.0,9.0,10.0,0,flexible
183,Private room,1,2.5,1.0,1.0,Real Bed,55.0,800.0,100.0,75.0,2,10.0,1,30,60,90,365,5.0,96.0,9.0,9.0,9.0,10.0,9.0,10.0,0,strict
184,Private room,3,1.5,1.0,1.0,Airbed,50.0,300.0,290.0,65.0,1,50.0,1,28,28,28,28,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict
185,Private room,2,1.0,1.0,1.0,Real Bed,41.0,244.0,100.0,25.0,2,40.0,2,0,0,0,38,0.0,95.0,10.0,9.0,10.0,10.0,9.0,10.0,0,strict
188,Private room,2,1.5,1.0,1.0,Real Bed,70.0,400.0,290.0,65.0,1,30.0,1,29,59,89,179,0.0,100.0,9.0,9.0,10.0,10.0,10.0,10.0,1,strict
189,Private room,2,1.5,1.0,1.0,Airbed,65.0,430.0,290.0,65.0,1,50.0,3,16,46,76,351,10.0,90.0,9.0,7.0,10.0,10.0,9.0,9.0,0,strict
190,Private room,2,1.5,1.0,2.0,Real Bed,55.0,800.0,290.0,65.0,1,35.0,3,15,45,75,350,12.0,93.0,9.0,8.0,10.0,10.0,9.0,9.0,0,strict
191,Private room,4,1.0,1.0,2.0,Real Bed,130.0,800.0,290.0,65.0,1,15.0,1,0,3,33,308,24.0,94.0,9.0,9.0,9.0,10.0,9.0,10.0,0,flexible
195,Private room,4,1.5,1.0,2.0,Real Bed,65.0,800.0,290.0,5.0,1,20.0,1,29,59,89,364,5.0,96.0,10.0,9.0,10.0,10.0,10.0,10.0,0,flexible
196,Private room,2,1.0,1.0,1.0,Real Bed,40.0,800.0,290.0,10.0,2,30.0,1,21,51,81,89,0.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
197,Private room,2,1.0,1.0,1.0,Real Bed,40.0,200.0,290.0,65.0,1,0.0,1,19,21,40,40,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
198,Entire home/apt,4,1.0,0.0,2.0,Real Bed,65.0,430.0,150.0,60.0,1,0.0,2,0,6,21,274,4.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
200,Entire home/apt,4,1.0,2.0,2.0,Real Bed,99.0,800.0,250.0,65.0,2,10.0,1,12,32,59,331,119.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
203,Entire home/apt,6,1.0,2.0,2.0,Real Bed,135.0,850.0,500.0,75.0,4,15.0,2,9,28,58,333,42.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
207,Entire home/apt,2,1.0,1.0,1.0,Real Bed,95.0,798.0,250.0,65.0,2,50.0,2,15,41,71,71,6.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
208,Entire home/apt,2,1.0,2.0,1.0,Real Bed,60.0,800.0,290.0,65.0,1,0.0,2,3,3,3,140,2.0,100.0,10.0,9.0,10.0,10.0,9.0,10.0,0,strict
209,Entire home/apt,6,1.5,3.0,4.0,Real Bed,350.0,800.0,290.0,135.0,1,0.0,2,7,21,48,312,3.0,100.0,10.0,10.0,10.0,8.0,10.0,10.0,0,strict
210,Private room,2,1.0,1.0,2.0,Real Bed,50.0,500.0,290.0,65.0,1,7.0,14,7,37,67,342,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
213,Private room,1,1.0,1.0,1.0,Real Bed,60.0,315.0,290.0,65.0,1,0.0,1,29,59,89,364,1.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
217,Entire home/apt,6,2.0,2.0,2.0,Real Bed,175.0,950.0,100.0,75.0,0,0.0,1,15,25,54,315,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
218,Entire home/apt,3,1.0,1.0,1.0,Real Bed,71.0,415.0,100.0,20.0,1,0.0,2,0,0,0,126,13.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0,moderate
219,Entire home/apt,4,2.0,2.0,2.0,Real Bed,125.0,875.0,250.0,85.0,2,25.0,2,0,0,0,0,18.0,91.0,10.0,9.0,10.0,10.0,9.0,10.0,0,strict
220,Entire home/apt,4,1.0,0.0,1.0,Real Bed,90.0,550.0,290.0,40.0,1,0.0,1,17,33,61,324,15.0,92.0,10.0,10.0,10.0,10.0,10.0,9.0,1,moderate
222,Entire home/apt,3,1.0,1.0,1.0,Real Bed,109.0,565.0,400.0,65.0,1,30.0,1,26,56,86,353,6.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
223,Entire home/apt,4,1.0,2.0,2.0,Real Bed,90.0,520.0,100.0,65.0,1,0.0,1,0,0,10,195,43.0,99.0,10.0,10.0,10.0,10.0,9.0,10.0,0,flexible
224,Entire home/apt,4,1.0,0.0,2.0,Real Bed,85.0,800.0,250.0,50.0,2,0.0,3,7,35,65,337,28.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
225,Entire home/apt,3,1.0,0.0,1.0,Real Bed,200.0,800.0,290.0,65.0,1,0.0,2,15,33,33,51,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
227,Private room,3,1.0,1.0,1.0,Real Bed,64.0,381.0,290.0,30.0,2,40.0,1,14,39,64,329,49.0,96.0,10.0,9.0,10.0,10.0,10.0,10.0,1,flexible
229,Entire home/apt,2,1.0,1.0,1.0,Real Bed,100.0,800.0,500.0,50.0,3,25.0,2,0,0,0,49,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
230,Entire home/apt,5,1.0,2.0,2.0,Real Bed,90.0,800.0,290.0,20.0,5,30.0,1,5,14,22,90,0.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
231,Entire home/apt,6,2.5,3.0,3.0,Real Bed,495.0,800.0,200.0,80.0,1,0.0,2,30,60,83,157,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
