,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy
3266,Private room,2,1.0,1.0,1.0,Real Bed,70.0,550.0,200.0,60.0,2,25.0,1,29,59,89,364,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
3267,Private room,2,1.0,1.0,1.0,Real Bed,125.0,800.0,200.0,50.0,1,0.0,1,20,36,66,331,15.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,moderate
3268,Entire home/apt,5,1.0,2.0,4.0,Real Bed,180.0,1071.0,290.0,75.0,1,0.0,1,11,26,56,319,42.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,moderate
3269,Entire home/apt,2,1.0,1.0,2.0,Real Bed,125.0,800.0,290.0,65.0,1,0.0,5,19,23,47,315,13.0,94.0,9.0,9.0,10.0,10.0,10.0,9.0,0,strict
3270,Entire home/apt,6,1.0,2.0,3.0,Real Bed,109.0,800.0,550.0,109.0,4,14.0,1,21,51,77,352,31.0,95.0,10.0,10.0,10.0,10.0,9.0,10.0,1,strict
3271,Private room,2,1.0,1.0,1.0,Real Bed,89.0,800.0,290.0,65.0,2,40.0,1,26,56,86,361,29.0,89.0,9.0,9.0,10.0,9.0,10.0,9.0,0,strict
3272,Private room,2,1.0,1.0,2.0,Real Bed,150.0,800.0,290.0,65.0,1,0.0,2,28,58,88,358,28.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
3275,Private room,3,1.0,1.0,1.0,Real Bed,119.0,700.0,290.0,50.0,1,0.0,1,18,48,78,353,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
3277,Entire home/apt,3,1.0,1.0,3.0,Real Bed,120.0,650.0,290.0,40.0,3,40.0,1,20,40,52,245,4.0,85.0,10.0,8.0,10.0,10.0,10.0,8.0,1,flexible
3278,Entire home/apt,4,1.0,2.0,1.0,Real Bed,125.0,800.0,290.0,40.0,4,0.0,1,30,60,90,365,10.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
3279,Private room,4,1.0,1.0,2.0,Real Bed,129.0,482.0,500.0,20.0,1,0.0,1,24,31,61,336,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
3280,Entire home/apt,3,1.0,1.0,1.0,Real Bed,115.0,750.0,290.0,50.0,2,60.0,2,23,53,83,358,0.0,94.0,9.0,9.0,10.0,10.0,10.0,9.0,0,strict
3281,Entire home/apt,4,1.0,1.0,1.0,Real Bed,98.0,800.0,300.0,75.0,2,0.0,1,28,58,88,363,9.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
3282,Entire home/apt,8,1.0,3.0,5.0,Real Bed,600.0,800.0,400.0,80.0,6,25.0,2,28,58,88,363,0.0,100.0,10.0,9.0,10.0,10.0,10.0,10.0,0,moderate
3283,Entire home/apt,6,2.0,2.0,2.0,Real Bed,900.0,800.0,500.0,65.0,1,0.0,2,0,0,0,43,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
3284,Entire home/apt,10,3.5,4.0,5.0,Real Bed,750.0,800.0,200.0,150.0,8,50.0,1,23,53,83,139,3.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
3285,Private room,2,1.0,1.0,1.0,Real Bed,149.0,750.0,500.0,7.0,1,0.0,1,13,27,57,332,8.0,98.0,10.0,10.0,10.0,10.0,9.0,9.0,1,moderate
3286,Entire home/apt,4,1.0,2.0,2.0,Real Bed,238.0,800.0,290.0,65.0,4,0.0,3,27,57,87,362,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
3289,Entire home/apt,4,1.0,2.0,2.0,Real Bed,199.0,800.0,290.0,60.0,1,0.0,2,20,20,20,224,13.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,moderate
3290,Entire home/apt,2,1.0,1.0,1.0,Real Bed,150.0,625.0,290.0,50.0,1,0.0,1,29,59,89,364,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
3291,Private room,2,1.0,1.0,1.0,Real Bed,80.0,800.0,290.0,65.0,2,50.0,2,3,31,61,336,87.0,93.0,9.0,9.0,9.0,9.0,10.0,9.0,0,strict
3292,Entire home/apt,7,2.0,3.0,7.0,Real Bed,800.0,800.0,1000.0,200.0,1,0.0,2,28,47,77,167,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
3293,Entire home/apt,5,1.0,2.0,3.0,Real Bed,275.0,1500.0,250.0,100.0,1,0.0,2,9,9,9,220,1.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict
3294,Entire home/apt,6,2.0,3.0,4.0,Real Bed,995.0,800.0,250.0,150.0,1,0.0,2,30,60,90,365,2.0,100.0,10.0,9.0,10.0,10.0,10.0,10.0,0,strict
3295,Entire home/apt,4,1.0,2.0,2.0,Real Bed,210.0,800.0,250.0,75.0,1,0.0,2,0,19,20,295,6.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
3296,Entire home/apt,5,1.0,2.0,2.0,Real Bed,195.0,895.0,290.0,65.0,1,0.0,1,29,54,84,174,0.0,90.0,9.0,9.0,9.0,9.0,9.0,9.0,0,strict
3297,Private room,2,1.5,1.0,1.0,Real Bed,95.0,800.0,290.0,30.0,1,15.0,1,0,3,33,308,12.0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,0,strict
3298,Entire home/apt,4,1.0,1.0,2.0,Real Bed,99.0,549.0,290.0,60.0,1,0.0,3,19,49,79,79,13.0,78.0,8.0,7.0,10.0,10.0,10.0,8.0,0,strict
3300,Entire home/apt,6,2.5,3.0,4.0,Real Bed,179.0,800.0,290.0,80.0,2,0.0,1,5,20,20,159,7.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
3301,Private room,2,1.0,1.0,1.0,Real Bed,89.0,800.0,290.0,65.0,1,0.0,1,28,58,88,363,33.0,93.0,9.0,10.0,9.0,10.0,10.0,9.0,0,strict
3302,Entire home/apt,8,2.0,2.0,6.0,Real Bed,1000.0,800.0,290.0,100.0,1,0.0,1,30,60,90,359,1.0,80.0,10.0,10.0,10.0,10.0,10.0,8.0,0,flexible
3306,Entire home/apt,7,2.0,3.0,5.0,Real Bed,200.0,800.0,200.0,150.0,1,0.0,4,20,50,80,348,3.0,93.0,10.0,9.0,9.0,10.0,10.0,9.0,0,strict
3307,Private room,2,1.5,1.0,1.0,Real Bed,59.0,400.0,100.0,15.0,2,10.0,1,29,59,89,364,4.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
3308,Entire home/apt,2,1.0,0.0,1.0,Real Bed,65.0,800.0,290.0,15.0,1,0.0,1,0,0,0,39,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
3309,Entire home/apt,2,1.0,1.0,1.0,Real Bed,179.0,1095.0,150.0,85.0,1,0.0,2,22,52,82,355,4.0,95.0,10.0,10.0,9.0,10.0,10.0,10.0,0,strict
3310,Entire home/apt,5,1.0,2.0,1.0,Real Bed,120.0,850.0,290.0,65.0,1,0.0,2,20,39,69,335,42.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
3311,Entire home/apt,2,1.0,1.0,1.0,Real Bed,150.0,650.0,290.0,50.0,1,0.0,1,29,59,89,364,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible
3312,Entire home/apt,3,1.5,1.0,2.0,Real Bed,120.0,950.0,290.0,60.0,2,50.0,2,23,53,83,358,2.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,0,strict
3313,Private room,2,1.0,1.0,2.0,Real Bed,65.0,800.0,100.0,65.0,1,30.0,1,0,21,51,51,27.0,92.0,9.0,9.0,10.0,10.0,9.0,9.0,0,moderate
3315,Entire home/apt,2,1.0,0.0,1.0,Real Bed,133.0,797.0,300.0,55.0,1,0.0,1,25,52,82,357,12.0,98.0,10.0,10.0,9.0,10.0,10.0,9.0,0,strict
3317,Entire home/apt,6,1.5,3.0,4.0,Real Bed,199.0,800.0,290.0,115.0,1,0.0,2,18,48,78,353,0.0,91.0,9.0,9.0,9.0,9.0,9.0,9.0,0,strict
3318,Private room,2,1.0,1.0,1.0,Real Bed,110.0,500.0,290.0,65.0,1,0.0,1,28,58,88,363,6.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0,flexible
